date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),generatedCoins,fees,activeAddresses
2013-10-20,110368242.508,48096,2037440000.0,171.66,0.0,5350.0,27.16583212,null,
2013-10-21,168356594.175,59490,2075580000.0,174.8,0.0,5000.0,38.18320492,null,
2013-10-22,196484552.74,64935,2169750000.0,182.65,0.0,6300.0,41.2506362,null,
2013-10-23,189683195.908,54171,2298160000.0,193.36,0.0,5250.0,36.46873666,null,
2013-10-24,217632176.588,63551,2548230000.0,214.3,0.0,5200.0,49.27202604,null,
2013-10-25,551065143.334,58679,2351780000.0,197.69,0.0,5975.0,46.20242853,null,
2013-10-26,117725783.291,49112,2231070000.0,187.45,0.0,4975.0,53.37810672,null,
2013-10-27,77653444.9791,43222,2102730000.0,176.6,0.0,4450.0,57.37419461,null,
2013-10-28,114480005.114,49527,2337100000.0,196.21,0.0,4400.0,30.67098406,null,
2013-10-29,316382521.681,50288,2365840000.0,198.55,0.0,3875.0,34.47844986,null,
2013-10-30,136561706.344,48438,2436240000.0,204.39,0.0,4900.0,30.20298347,null,
2013-10-31,120094417.9,57810,2382870000.0,199.83,0.0,5300.0,30.01030099,null,
2013-11-01,118920387.227,45917,2432470000.0,203.9,0.0,4800.0,34.53785281,null,
2013-11-02,99429297.6332,40700,2456330000.0,205.81,0.0,5475.0,23.7007604,null,
2013-11-03,93752997.4675,35999,2459520000.0,205.99,0.0,5000.0,25.64583581,null,
2013-11-04,162975426.544,42372,2564070000.0,214.66,0.0,4725.0,67.6652894,null,
2013-11-05,217554436.638,51627,2738980000.0,229.21,0.0,4325.0,46.92507741,null,
2013-11-06,196137190.523,54832,2926100000.0,244.78,0.0,4150.0,117.99822551,null,
2013-11-07,256944784.531,58843,3129190000.0,261.68,0.0,3700.0,139.79659605,null,
2013-11-08,291810840.15,59709,3562790000.0,297.85,0.0,3350.0,123.07551164,null,
2013-11-09,281123834.317,56560,4051120000.0,338.58,0.0,3525.0,56.25290425,null,
2013-11-10,229390590.378,57517,4174930000.0,348.82,0.0,4300.0,45.70551043,null,
2013-11-11,187310600.523,54660,3896130000.0,325.41,0.0,4775.0,62.08179237,null,
2013-11-12,307389490.286,58032,4109060000.0,343.06,0.0,4750.0,22.5282256,null,
2013-11-13,341836859.638,60786,4325400000.0,360.97,0.0,4525.0,21.52152945,null,
2013-11-14,427911301.997,73364,4871600000.0,406.41,0.0,4425.0,24.63508894,null,
2013-11-15,885982349.963,61178,5029340000.0,419.41,0.0,3975.0,18.00392219,null,
2013-11-16,686903753.137,49605,5005530000.0,417.28,0.0,4875.0,15.05485078,null,
2013-11-17,433019531.296,48900,5291730000.0,440.96,0.0,4925.0,15.45568133,null,
2013-11-18,804514500.641,75799,5961500000.0,496.58,0.0,4025.0,26.41407843,null,
2013-11-19,1556664925.34,92422,8559550000.0,712.76,0.0,3875.0,31.93759606,null,
2013-11-20,857574047.896,76163,6943300000.0,577.98,0.0,4050.0,24.68355579,null,
2013-11-21,1179601719.04,73554,7142030000.0,594.32,0.0,3775.0,27.43937783,null,
2013-11-22,1781030048.05,74265,8703970000.0,724.07,0.0,4125.0,22.9362431,null,
2013-11-23,1111881304.07,75912,9279850000.0,771.7,0.0,4250.0,21.9836546,null,
2013-11-24,1091187922.67,60158,9570990000.0,795.63,0.0,4325.0,17.35049784,null,
2013-11-25,1013135759.14,69339,9302270000.0,773.02,0.0,4225.0,18.80179217,null,
2013-11-26,2996910290.07,83985,9699360000.0,805.73,0.0,4150.0,25.39879114,null,
2013-11-27,3084391274.42,91222,11124900000.0,923.85,0.0,4125.0,29.19003834,null,
2013-11-28,3247059238.34,102420,12087000000.0,1003.38,0.0,4575.0,32.05497938,null,
2013-11-29,2682090736.81,89181,12557100000.0,1042.01,0.0,4625.0,25.70233917,null,
2013-11-30,2087876277.16,78048,13614700000.0,1129.37,0.0,3975.0,21.28080832,null,
2013-12-01,1562113464.2,69542,13614300000.0,1128.92,0.0,5000.0,18.40424631,null,
2013-12-02,1288228131.74,74390,11478300000.0,951.42,0.0,4075.0,19.80758844,null,
2013-12-03,1211739190.78,76946,12628300000.0,1046.4,0.0,4825.0,21.26095339,null,
