Date,DJIA,S&P,NASDAQ
1986-07-08,1822.130005,244.05000299999998,394.200012
1986-07-09,1825.0799559999998,241.58999599999999,391.399994
1986-07-10,1833.800049,242.82000699999998,393.200012
1986-07-11,1832.109985,243.00999500000003,392.399994
1986-07-14,1809.339966,242.22000099999997,388.100006
1986-07-15,1789.790039,238.08999599999999,382.899994
1986-07-16,1776.859985,233.66000400000001,380.0
1986-07-17,1778.680054,235.00999500000003,380.899994
1986-07-18,1781.359985,236.07000699999998,380.399994
1986-07-21,1774.180054,236.36000099999998,380.0
1986-07-22,1777.0,236.24000499999997,379.5
1986-07-23,1796.4000239999998,238.190002,379.700012
1986-07-24,1797.810059,238.690002,380.100006
1986-07-25,1799.780029,237.99000499999997,379.100006
1986-07-28,1806.949951,240.19999700000002,379.799988
1986-07-29,1776.430054,235.72000099999997,372.899994
1986-07-30,1768.97998,234.57000699999998,370.700012
1986-07-31,1779.810059,236.58999599999999,371.5
1986-08-01,1775.310059,236.11999500000002,372.5
1986-08-04,1753.089966,234.91000400000001,367.899994
1986-08-05,1787.819946,235.99000499999997,366.899994
1986-08-06,1771.6500239999998,237.02999900000003,365.899994
1986-08-07,1774.75,236.83999599999999,364.899994
1986-08-08,1786.4200440000002,237.039993,365.899994
1986-08-11,1786.699951,236.88000499999998,367.700012
1986-08-12,1824.380005,240.67999300000002,371.5
1986-08-13,1836.189941,243.33999599999999,374.600006
1986-08-14,1844.069946,245.669998,377.899994
1986-08-15,1848.140015,246.25,379.399994
1986-08-18,1857.9899899999998,247.149994,379.100006
1986-08-19,1867.550049,247.38000499999998,378.700012
1986-08-20,1861.219971,246.52999900000003,379.200012
1986-08-21,1883.719971,249.770004,381.600006
1986-08-22,1879.780029,249.669998,381.0
1986-08-25,1887.6500239999998,250.190002,379.799988
1986-08-26,1876.550049,247.809998,380.100006
1986-08-27,1904.25,252.83999599999999,381.600006
1986-08-28,1896.790039,253.30000299999998,381.700012
1986-08-29,1896.930054,252.83999599999999,383.0
1986-09-02,1903.2600100000002,252.92999300000002,382.799988
1986-09-03,1861.9200440000002,248.520004,379.0
1986-09-04,1884.699951,250.080002,379.200012
1986-09-05,1918.72998,253.830002,380.600006
1986-09-08,1889.7600100000002,250.47000099999997,374.799988
1986-09-09,1898.339966,248.13999900000002,372.100006
1986-09-10,1885.689941,247.669998,368.100006
1986-09-11,1861.640015,247.059998,362.799988
1986-09-12,1794.1500239999998,235.17999300000002,346.5
1986-09-15,1772.9200440000002,230.669998,347.399994
1986-09-16,1763.219971,231.92999300000002,342.700012
1986-09-17,1780.369995,231.729996,345.399994
1986-09-18,1763.219971,231.669998,348.100006
1986-09-19,1765.469971,232.30000299999998,348.299988
1986-09-22,1771.369995,232.19999700000002,350.399994
